feature,gain
price_vs_ema20_steps,4813
ema20_slope_steps,3946
price_vs_ema50_steps,3727
bars_since_this_level_broken,3229
atr_steps,2707
dist_pdl_steps,2693
dist_pdh_steps,2648
recent_return_steps,2431
range_so_far_steps,2399
rel_volume,2192
gap_steps,2144
dist_round_10_steps,2122
dist_wlow_steps,2079
dist_round_5_steps,2068
hours_since_open,2054
dist_whigh_steps,2020
dist_round_25_steps,2019
vol_trend,2016
dist_nearest_prior_level_steps,1984
dist_round_50_steps,1921
approached_from_above,1698
levels_broken_before,1500
step_number,1345
prior_touches_today,1335
abs_step,975
day_of_week,599
confluence_count,571
is_first_touch,554
type,467
bars_since_day_open,463
session,148
above_or_below_open,63
