date,touch_time_IST,step,type,side,level_price,model_react_pct,model_says,actual,test_year,correct
2023-01-03,2023-01-03 04:30,1,thin,resistance,1826.65,25.9,break,broke,2023,True
2023-01-03,2023-01-03 04:30,2,thick,resistance,1829.37,32.5,break,reacted,2023,False
2023-01-03,2023-01-03 04:45,0,open,support,1823.92,33.0,break,reacted,2023,False
2023-01-03,2023-01-03 05:15,2,thick,resistance,1829.37,25.9,break,broke,2023,True
2023-01-03,2023-01-03 05:30,3,thin,resistance,1832.1,35.4,break,reacted,2023,False
2023-01-03,2023-01-03 06:30,2,thick,support,1829.37,41.4,break,broke,2023,True
2023-01-03,2023-01-03 06:30,3,thin,resistance,1832.1,39.7,break,reacted,2023,False
2023-01-03,2023-01-03 06:45,1,thin,support,1826.65,43.9,break,reacted,2023,False
2023-01-03,2023-01-03 08:00,3,thin,resistance,1832.1,15.7,break,broke,2023,True
2023-01-03,2023-01-03 08:00,4,thick,resistance,1834.83,25.9,break,broke,2023,True
2023-01-03,2023-01-03 08:00,5,thin,resistance,1837.55,32.5,break,broke,2023,True
2023-01-03,2023-01-03 08:30,6,thick,resistance,1840.28,30.8,break,broke,2023,True
2023-01-03,2023-01-03 08:45,7,thin,resistance,1843.0,30.8,break,reacted,2023,False
2023-01-03,2023-01-03 09:45,6,thick,support,1840.28,39.2,break,broke,2023,True
2023-01-03,2023-01-03 10:15,6,thick,support,1840.28,39.2,break,broke,2023,True
2023-01-03,2023-01-03 10:45,5,thin,support,1837.55,41.4,break,reacted,2023,False
2023-01-03,2023-01-03 11:45,7,thin,resistance,1843.0,41.4,break,reacted,2023,False
2023-01-03,2023-01-03 12:00,6,thick,support,1840.28,39.2,break,reacted,2023,False
2023-01-03,2023-01-03 12:45,7,thin,resistance,1843.0,30.8,break,broke,2023,True
2023-01-03,2023-01-03 12:45,8,thick,resistance,1845.73,30.8,break,broke,2023,True
2023-01-03,2023-01-03 13:00,9,thin,resistance,1848.46,35.4,break,broke,2023,True
2023-01-03,2023-01-03 13:15,8,thick,support,1845.73,37.2,break,broke,2023,True
2023-01-03,2023-01-03 13:30,7,thin,support,1843.0,43.9,break,broke,2023,True
2023-01-03,2023-01-03 13:45,6,thick,support,1840.28,41.4,break,broke,2023,True
2023-01-03,2023-01-03 14:00,5,thin,support,1837.55,15.7,break,broke,2023,True
2023-01-03,2023-01-03 14:15,4,thick,support,1834.83,25.9,break,reacted,2023,False
2023-01-03,2023-01-03 14:30,5,thin,resistance,1837.55,37.2,break,broke,2023,True
2023-01-03,2023-01-03 14:45,6,thick,resistance,1840.28,41.4,break,broke,2023,True
2023-01-03,2023-01-03 15:45,5,thin,support,1837.55,35.4,break,broke,2023,True
2023-01-03,2023-01-03 16:00,4,thick,support,1834.83,33.0,break,broke,2023,True
2023-01-03,2023-01-03 16:45,3,thin,support,1832.1,30.8,break,broke,2023,True
2023-01-03,2023-01-03 17:45,4,thick,resistance,1834.83,41.4,break,broke,2023,True
2023-01-03,2023-01-03 18:30,5,thin,resistance,1837.55,41.4,break,broke,2023,True
2023-01-03,2023-01-03 18:45,6,thick,resistance,1840.28,41.4,break,reacted,2023,False
2023-01-03,2023-01-03 19:30,5,thin,support,1837.55,48.6,break,reacted,2023,False
2023-01-03,2023-01-03 19:45,6,thick,resistance,1840.28,41.4,break,broke,2023,True
